"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag","MetricID"
"43","siteid",400,22662,0.017650692789692,6.77956453688429,2,"Analysis_kri0001"
"83","siteid",83,4736,0.0175253378378378,3.06852028024593,2,"Analysis_kri0001"
"75","siteid",114,7842,0.0145371078806427,3.00549582183131,2,"Analysis_kri0001"
"154","siteid",17,475,0.0357894736842105,2.39035409561086,1,"Analysis_kri0001"
"150","siteid",35,1647,0.021250758955677,2.34834648544636,1,"Analysis_kri0001"
"25","siteid",39,2034,0.0191740412979351,2.27592363068594,1,"Analysis_kri0001"
"120","siteid",42,2389,0.0175805776475513,2.18899328427476,1,"Analysis_kri0001"
"91","siteid",129,12165,0.0106041923551171,2.19745697277471,1,"Analysis_kri0001"
"140","siteid",148,50300,0.00294234592445328,-1.65545469036581,-1,"Analysis_kri0001"
"172","siteid",42,22733,0.00184753442132583,-1.70117843700407,-1,"Analysis_kri0001"
"173","siteid",36,19877,0.00181113850178598,-1.60901820812525,-1,"Analysis_kri0001"
"77","siteid",24,13268,0.00180886343081097,-1.31551769000062,-1,"Analysis_kri0001"
"92","siteid",18,10644,0.00169109357384442,-1.22157460939326,-1,"Analysis_kri0001"
"155","siteid",11,7803,0.00140971421248238,-1.13449814603268,-1,"Analysis_kri0001"
"54","siteid",19,13479,0.00140960011870317,-1.4911302226748,-1,"Analysis_kri0001"
"141","siteid",13,9602,0.00135388460737346,-1.27799799786111,-1,"Analysis_kri0001"
"143","siteid",25,20890,0.00119674485399713,-1.96597060450737,-1,"Analysis_kri0001"
"156","siteid",6,6832,0.000878220140515222,-1.21812444623766,-1,"Analysis_kri0001"
"10","siteid",8,13705,0.000583728566216709,-1.84813258153766,-1,"Analysis_kri0001"
"85","siteid",5,10519,0.000475330354596445,-1.65874665027903,-1,"Analysis_kri0001"
"176","siteid",1,3536,0.000282805429864253,-1.00251952996828,-1,"Analysis_kri0001"
"145","siteid",2,53,0.0377358490566038,0.848957805858056,0,"Analysis_kri0001"
